Hyperparameters:
output_dir: Nouvelle_version/MAML/output/SimpleNN/par_def
n_way: 10
k_spt: 10
k_qry: 15
num_classes: 20
num_elements_per_class: 35
perc_training_set: 0.7
task_num: 10
epochs: 100
meta_lr: 0.001
model_class: ConvNet_Sans_Dropout
seed: 1
inner_opt_train_lr: 0.1
inner_opt_test_lr: 0.1
n_inner_iter: 5

Accuracy Results:
Epoch 82.0: Train Accuracy = 10.33%, Test Accuracy = 10.40%
Epoch 83: Train Accuracy = 10.07%, Test Accuracy = 10.47%
Epoch 83.5: Train Accuracy = 10.07%, Test Accuracy = 10.47%
Epoch 84.0: Train Accuracy = 10.67%, Test Accuracy = 10.20%
Epoch 85: Train Accuracy = 10.80%, Test Accuracy = 10.20%
Epoch 85.5: Train Accuracy = 9.87%, Test Accuracy = 10.40%
Epoch 86.0: Train Accuracy = 10.40%, Test Accuracy = 10.60%
Epoch 87: Train Accuracy = 11.20%, Test Accuracy = 10.40%
Epoch 87.5: Train Accuracy = 10.53%, Test Accuracy = 10.33%
Epoch 88.0: Train Accuracy = 10.27%, Test Accuracy = 10.13%
Epoch 89: Train Accuracy = 10.87%, Test Accuracy = 10.60%
Epoch 89.5: Train Accuracy = 10.40%, Test Accuracy = 10.87%
Epoch 90.0: Train Accuracy = 10.80%, Test Accuracy = 9.67%
Epoch 91: Train Accuracy = 10.27%, Test Accuracy = 10.20%
Epoch 91.5: Train Accuracy = 10.00%, Test Accuracy = 10.47%
Epoch 92.0: Train Accuracy = 10.33%, Test Accuracy = 9.87%
Epoch 93: Train Accuracy = 11.07%, Test Accuracy = 10.07%
Epoch 93.5: Train Accuracy = 10.27%, Test Accuracy = 10.13%
Epoch 94.0: Train Accuracy = 9.80%, Test Accuracy = 10.20%
Epoch 95: Train Accuracy = 10.33%, Test Accuracy = 10.33%
Epoch 95.5: Train Accuracy = 10.27%, Test Accuracy = 12.00%
Epoch 96.0: Train Accuracy = 10.00%, Test Accuracy = 10.47%
Epoch 97: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 97.5: Train Accuracy = 10.27%, Test Accuracy = 11.07%
Epoch 98.0: Train Accuracy = 10.20%, Test Accuracy = 10.33%
Epoch 99: Train Accuracy = 9.93%, Test Accuracy = 9.93%
Epoch 99.5: Train Accuracy = 10.33%, Test Accuracy = 10.47%
