Hyperparameters:
output_dir: Nouvelle_version/MAML/output/SimpleNN/meta_lr=1e-2
n_way: 10
k_spt: 10
k_qry: 15
num_classes: 20
num_elements_per_class: 35
perc_training_set: 0.7
task_num: 10
epochs: 500
meta_lr: 0.01
model_class: ConvNet_Sans_Dropout
seed: 1
inner_opt_train_lr: 0.1
inner_opt_test_lr: 0.1
n_inner_iter: 5

Accuracy Results:
Epoch 161.5: Train Accuracy = 10.20%, Test Accuracy = 10.20%
Epoch 162.0: Train Accuracy = 10.13%, Test Accuracy = 9.87%
Epoch 163: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 163.5: Train Accuracy = 9.93%, Test Accuracy = 9.87%
Epoch 164.0: Train Accuracy = 10.27%, Test Accuracy = 9.87%
Epoch 165: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 165.5: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 166.0: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 167: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 167.5: Train Accuracy = 9.93%, Test Accuracy = 10.00%
Epoch 168.0: Train Accuracy = 9.80%, Test Accuracy = 9.93%
Epoch 169: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 169.5: Train Accuracy = 10.13%, Test Accuracy = 10.27%
Epoch 170.0: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 171: Train Accuracy = 10.20%, Test Accuracy = 9.87%
Epoch 171.5: Train Accuracy = 9.87%, Test Accuracy = 9.80%
Epoch 172.0: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 173: Train Accuracy = 10.40%, Test Accuracy = 10.07%
Epoch 173.5: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 174.0: Train Accuracy = 10.07%, Test Accuracy = 10.07%
Epoch 175: Train Accuracy = 9.93%, Test Accuracy = 10.00%
Epoch 175.5: Train Accuracy = 10.20%, Test Accuracy = 10.47%
Epoch 176.0: Train Accuracy = 9.93%, Test Accuracy = 9.80%
Epoch 177: Train Accuracy = 10.60%, Test Accuracy = 9.87%
Epoch 177.5: Train Accuracy = 10.27%, Test Accuracy = 10.27%
Epoch 178.0: Train Accuracy = 10.07%, Test Accuracy = 9.87%
Epoch 179: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 179.5: Train Accuracy = 10.40%, Test Accuracy = 10.80%
Epoch 180.0: Train Accuracy = 10.20%, Test Accuracy = 10.20%
Epoch 181: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 181.5: Train Accuracy = 10.27%, Test Accuracy = 10.87%
Epoch 182.0: Train Accuracy = 9.60%, Test Accuracy = 10.47%
Epoch 183: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 183.5: Train Accuracy = 10.00%, Test Accuracy = 9.87%
Epoch 184.0: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 185: Train Accuracy = 10.07%, Test Accuracy = 10.27%
Epoch 185.5: Train Accuracy = 10.00%, Test Accuracy = 10.47%
Epoch 186.0: Train Accuracy = 9.87%, Test Accuracy = 10.07%
Epoch 187: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 187.5: Train Accuracy = 10.13%, Test Accuracy = 10.13%
Epoch 188.0: Train Accuracy = 10.27%, Test Accuracy = 9.93%
Epoch 189: Train Accuracy = 10.20%, Test Accuracy = 10.47%
Epoch 189.5: Train Accuracy = 10.27%, Test Accuracy = 10.00%
Epoch 190.0: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 191: Train Accuracy = 9.87%, Test Accuracy = 9.73%
Epoch 191.5: Train Accuracy = 10.20%, Test Accuracy = 9.87%
Epoch 192.0: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 193: Train Accuracy = 9.73%, Test Accuracy = 10.00%
Epoch 193.5: Train Accuracy = 10.33%, Test Accuracy = 10.20%
Epoch 194.0: Train Accuracy = 10.07%, Test Accuracy = 10.13%
Epoch 195: Train Accuracy = 10.00%, Test Accuracy = 10.13%
Epoch 195.5: Train Accuracy = 9.93%, Test Accuracy = 9.87%
Epoch 196.0: Train Accuracy = 10.20%, Test Accuracy = 10.13%
Epoch 197: Train Accuracy = 10.40%, Test Accuracy = 9.87%
Epoch 197.5: Train Accuracy = 9.87%, Test Accuracy = 10.27%
Epoch 198.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 199: Train Accuracy = 10.13%, Test Accuracy = 10.13%
Epoch 199.5: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 200.0: Train Accuracy = 9.87%, Test Accuracy = 9.60%
Epoch 201: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 201.5: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 202.0: Train Accuracy = 10.33%, Test Accuracy = 10.00%
Epoch 203: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 203.5: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 204.0: Train Accuracy = 9.93%, Test Accuracy = 10.13%
Epoch 205: Train Accuracy = 9.93%, Test Accuracy = 9.80%
Epoch 205.5: Train Accuracy = 9.87%, Test Accuracy = 10.07%
Epoch 206.0: Train Accuracy = 9.87%, Test Accuracy = 9.93%
Epoch 207: Train Accuracy = 9.93%, Test Accuracy = 9.73%
Epoch 207.5: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 208.0: Train Accuracy = 9.93%, Test Accuracy = 10.13%
Epoch 209: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 209.5: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 210.0: Train Accuracy = 9.93%, Test Accuracy = 10.13%
Epoch 211: Train Accuracy = 10.13%, Test Accuracy = 9.93%
Epoch 211.5: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 212.0: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 213: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 213.5: Train Accuracy = 9.93%, Test Accuracy = 10.00%
Epoch 214.0: Train Accuracy = 10.27%, Test Accuracy = 9.93%
Epoch 215: Train Accuracy = 9.80%, Test Accuracy = 10.00%
Epoch 215.5: Train Accuracy = 9.93%, Test Accuracy = 10.27%
Epoch 216.0: Train Accuracy = 9.80%, Test Accuracy = 10.00%
Epoch 217: Train Accuracy = 9.87%, Test Accuracy = 9.93%
Epoch 217.5: Train Accuracy = 9.87%, Test Accuracy = 10.07%
Epoch 218.0: Train Accuracy = 10.13%, Test Accuracy = 9.73%
Epoch 219: Train Accuracy = 10.80%, Test Accuracy = 10.07%
Epoch 219.5: Train Accuracy = 10.00%, Test Accuracy = 10.47%
Epoch 220.0: Train Accuracy = 10.00%, Test Accuracy = 10.20%
Epoch 221: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 221.5: Train Accuracy = 10.20%, Test Accuracy = 10.13%
Epoch 222.0: Train Accuracy = 10.40%, Test Accuracy = 10.07%
Epoch 223: Train Accuracy = 9.80%, Test Accuracy = 9.80%
Epoch 223.5: Train Accuracy = 9.87%, Test Accuracy = 10.27%
Epoch 224.0: Train Accuracy = 9.87%, Test Accuracy = 10.00%
Epoch 225: Train Accuracy = 11.07%, Test Accuracy = 10.40%
Epoch 225.5: Train Accuracy = 9.80%, Test Accuracy = 10.07%
Epoch 226.0: Train Accuracy = 9.93%, Test Accuracy = 10.20%
Epoch 227: Train Accuracy = 10.13%, Test Accuracy = 9.60%
Epoch 227.5: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 228.0: Train Accuracy = 9.93%, Test Accuracy = 9.93%
Epoch 229: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 229.5: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 230.0: Train Accuracy = 10.47%, Test Accuracy = 10.07%
Epoch 231: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 231.5: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 232.0: Train Accuracy = 10.00%, Test Accuracy = 10.20%
Epoch 233: Train Accuracy = 10.00%, Test Accuracy = 10.13%
Epoch 233.5: Train Accuracy = 9.93%, Test Accuracy = 9.93%
Epoch 234.0: Train Accuracy = 10.27%, Test Accuracy = 9.93%
Epoch 235: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 235.5: Train Accuracy = 10.13%, Test Accuracy = 9.93%
Epoch 236.0: Train Accuracy = 10.13%, Test Accuracy = 9.87%
Epoch 237: Train Accuracy = 10.40%, Test Accuracy = 10.20%
Epoch 237.5: Train Accuracy = 9.87%, Test Accuracy = 10.07%
Epoch 238.0: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 239: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 239.5: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 240.0: Train Accuracy = 10.40%, Test Accuracy = 10.27%
Epoch 241: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 241.5: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 242.0: Train Accuracy = 10.13%, Test Accuracy = 9.87%
Epoch 243: Train Accuracy = 11.00%, Test Accuracy = 10.07%
Epoch 243.5: Train Accuracy = 10.13%, Test Accuracy = 11.07%
