Hyperparameters:
output_dir: Nouvelle_version/MAML/output/SimpleNN/meta_lr=1e-4
n_way: 10
k_spt: 10
k_qry: 15
num_classes: 20
num_elements_per_class: 35
perc_training_set: 0.7
task_num: 10
epochs: 500
meta_lr: 0.0001
model_class: ConvNet_Sans_Dropout
seed: 1
inner_opt_train_lr: 0.1
inner_opt_test_lr: 0.1
n_inner_iter: 5

Accuracy Results:
Epoch 0.0: Train Accuracy = 10.33%, Test Accuracy = 10.53%
Epoch 75.5: Train Accuracy = 10.93%, Test Accuracy = 10.20%
Epoch 76.0: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 77: Train Accuracy = 11.60%, Test Accuracy = 10.33%
Epoch 77.5: Train Accuracy = 10.00%, Test Accuracy = 10.40%
Epoch 78.0: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 79: Train Accuracy = 11.60%, Test Accuracy = 10.20%
Epoch 79.5: Train Accuracy = 10.00%, Test Accuracy = 11.80%
Epoch 80.0: Train Accuracy = 10.33%, Test Accuracy = 9.93%
Epoch 81: Train Accuracy = 11.40%, Test Accuracy = 10.07%
Epoch 81.5: Train Accuracy = 10.53%, Test Accuracy = 10.27%
Epoch 82.0: Train Accuracy = 10.20%, Test Accuracy = 10.47%
Epoch 83: Train Accuracy = 10.60%, Test Accuracy = 10.33%
Epoch 83.5: Train Accuracy = 10.33%, Test Accuracy = 11.27%
Epoch 84.0: Train Accuracy = 10.20%, Test Accuracy = 10.33%
Epoch 85: Train Accuracy = 10.07%, Test Accuracy = 9.87%
Epoch 85.5: Train Accuracy = 10.80%, Test Accuracy = 10.53%
Epoch 86.0: Train Accuracy = 10.13%, Test Accuracy = 10.00%
Epoch 87: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 87.5: Train Accuracy = 10.00%, Test Accuracy = 11.00%
Epoch 88.0: Train Accuracy = 9.87%, Test Accuracy = 10.73%
Epoch 89: Train Accuracy = 9.93%, Test Accuracy = 10.27%
Epoch 89.5: Train Accuracy = 10.40%, Test Accuracy = 11.20%
Epoch 90.0: Train Accuracy = 9.80%, Test Accuracy = 9.93%
Epoch 91: Train Accuracy = 9.93%, Test Accuracy = 10.87%
Epoch 91.5: Train Accuracy = 10.00%, Test Accuracy = 9.87%
Epoch 92.0: Train Accuracy = 10.47%, Test Accuracy = 9.93%
Epoch 93: Train Accuracy = 10.33%, Test Accuracy = 9.93%
Epoch 93.5: Train Accuracy = 9.93%, Test Accuracy = 11.07%
Epoch 94.0: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 95: Train Accuracy = 10.40%, Test Accuracy = 10.00%
Epoch 95.5: Train Accuracy = 10.00%, Test Accuracy = 10.27%
Epoch 96.0: Train Accuracy = 10.00%, Test Accuracy = 9.80%
Epoch 97: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 97.5: Train Accuracy = 10.07%, Test Accuracy = 11.67%
Epoch 98.0: Train Accuracy = 10.13%, Test Accuracy = 9.93%
Epoch 99: Train Accuracy = 10.13%, Test Accuracy = 10.40%
Epoch 99.5: Train Accuracy = 9.93%, Test Accuracy = 11.93%
Epoch 100.0: Train Accuracy = 10.00%, Test Accuracy = 9.80%
Epoch 101: Train Accuracy = 10.13%, Test Accuracy = 10.00%
Epoch 101.5: Train Accuracy = 9.93%, Test Accuracy = 10.40%
Epoch 102.0: Train Accuracy = 9.93%, Test Accuracy = 10.00%
Epoch 103: Train Accuracy = 11.07%, Test Accuracy = 10.47%
Epoch 103.5: Train Accuracy = 10.20%, Test Accuracy = 10.80%
Epoch 104.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 105: Train Accuracy = 10.27%, Test Accuracy = 10.40%
Epoch 105.5: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 106.0: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 107: Train Accuracy = 10.33%, Test Accuracy = 9.87%
Epoch 107.5: Train Accuracy = 10.27%, Test Accuracy = 10.93%
Epoch 108.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 109: Train Accuracy = 10.47%, Test Accuracy = 9.87%
Epoch 109.5: Train Accuracy = 10.07%, Test Accuracy = 11.20%
Epoch 110.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 111: Train Accuracy = 10.20%, Test Accuracy = 10.00%
Epoch 111.5: Train Accuracy = 10.00%, Test Accuracy = 10.20%
Epoch 112.0: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 113: Train Accuracy = 10.07%, Test Accuracy = 10.07%
Epoch 113.5: Train Accuracy = 9.93%, Test Accuracy = 10.20%
Epoch 114.0: Train Accuracy = 10.13%, Test Accuracy = 10.73%
Epoch 115: Train Accuracy = 11.33%, Test Accuracy = 9.87%
Epoch 115.5: Train Accuracy = 10.00%, Test Accuracy = 10.67%
Epoch 116.0: Train Accuracy = 10.33%, Test Accuracy = 10.13%
Epoch 117: Train Accuracy = 11.07%, Test Accuracy = 10.07%
Epoch 117.5: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 118.0: Train Accuracy = 10.53%, Test Accuracy = 10.07%
Epoch 119: Train Accuracy = 10.60%, Test Accuracy = 10.20%
Epoch 119.5: Train Accuracy = 10.13%, Test Accuracy = 11.13%
Epoch 120.0: Train Accuracy = 10.40%, Test Accuracy = 10.20%
Epoch 121: Train Accuracy = 9.80%, Test Accuracy = 10.07%
Epoch 121.5: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 122.0: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 123: Train Accuracy = 10.27%, Test Accuracy = 10.07%
Epoch 123.5: Train Accuracy = 10.20%, Test Accuracy = 10.87%
Epoch 124.0: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 125: Train Accuracy = 12.00%, Test Accuracy = 10.53%
Epoch 125.5: Train Accuracy = 9.87%, Test Accuracy = 10.73%
Epoch 126.0: Train Accuracy = 10.20%, Test Accuracy = 9.93%
Epoch 127: Train Accuracy = 11.80%, Test Accuracy = 10.27%
Epoch 127.5: Train Accuracy = 10.07%, Test Accuracy = 10.93%
Epoch 128.0: Train Accuracy = 10.13%, Test Accuracy = 9.87%
Epoch 129: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 129.5: Train Accuracy = 10.13%, Test Accuracy = 10.13%
Epoch 130.0: Train Accuracy = 10.27%, Test Accuracy = 10.07%
Epoch 131: Train Accuracy = 10.47%, Test Accuracy = 10.13%
Epoch 131.5: Train Accuracy = 10.07%, Test Accuracy = 11.13%
Epoch 132.0: Train Accuracy = 10.27%, Test Accuracy = 10.00%
Epoch 133: Train Accuracy = 10.27%, Test Accuracy = 10.07%
Epoch 133.5: Train Accuracy = 10.13%, Test Accuracy = 11.00%
Epoch 134.0: Train Accuracy = 10.13%, Test Accuracy = 10.13%
Epoch 135: Train Accuracy = 11.40%, Test Accuracy = 10.13%
Epoch 135.5: Train Accuracy = 10.13%, Test Accuracy = 10.73%
Epoch 136.0: Train Accuracy = 9.93%, Test Accuracy = 9.93%
Epoch 137: Train Accuracy = 11.20%, Test Accuracy = 10.13%
Epoch 137.5: Train Accuracy = 9.93%, Test Accuracy = 12.20%
Epoch 138.0: Train Accuracy = 10.53%, Test Accuracy = 10.33%
Epoch 139: Train Accuracy = 10.13%, Test Accuracy = 10.00%
Epoch 139.5: Train Accuracy = 10.07%, Test Accuracy = 10.40%
Epoch 140.0: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 141: Train Accuracy = 11.20%, Test Accuracy = 9.93%
Epoch 141.5: Train Accuracy = 10.00%, Test Accuracy = 10.27%
Epoch 142.0: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 143: Train Accuracy = 10.60%, Test Accuracy = 10.20%
Epoch 143.5: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 144.0: Train Accuracy = 10.20%, Test Accuracy = 10.20%
Epoch 145: Train Accuracy = 13.13%, Test Accuracy = 10.13%
Epoch 145.5: Train Accuracy = 10.00%, Test Accuracy = 11.40%
Epoch 146.0: Train Accuracy = 10.07%, Test Accuracy = 9.87%
Epoch 147: Train Accuracy = 10.60%, Test Accuracy = 10.07%
Epoch 147.5: Train Accuracy = 9.93%, Test Accuracy = 10.13%
Epoch 148.0: Train Accuracy = 10.13%, Test Accuracy = 10.20%
Epoch 149: Train Accuracy = 10.33%, Test Accuracy = 9.87%
Epoch 149.5: Train Accuracy = 10.53%, Test Accuracy = 10.87%
Epoch 150.0: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 151: Train Accuracy = 10.93%, Test Accuracy = 9.93%
Epoch 151.5: Train Accuracy = 10.13%, Test Accuracy = 13.40%
Epoch 152.0: Train Accuracy = 9.87%, Test Accuracy = 9.93%
Epoch 153: Train Accuracy = 11.07%, Test Accuracy = 10.13%
Epoch 153.5: Train Accuracy = 10.07%, Test Accuracy = 10.53%
Epoch 154.0: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 155: Train Accuracy = 10.20%, Test Accuracy = 10.00%
Epoch 155.5: Train Accuracy = 10.27%, Test Accuracy = 11.87%
Epoch 156.0: Train Accuracy = 10.27%, Test Accuracy = 9.80%
Epoch 157: Train Accuracy = 12.00%, Test Accuracy = 10.13%
Epoch 157.5: Train Accuracy = 10.20%, Test Accuracy = 10.93%
Epoch 158.0: Train Accuracy = 10.20%, Test Accuracy = 10.00%
Epoch 159: Train Accuracy = 11.07%, Test Accuracy = 10.87%
Epoch 159.5: Train Accuracy = 9.87%, Test Accuracy = 10.47%
Epoch 160.0: Train Accuracy = 10.13%, Test Accuracy = 9.93%
Epoch 161: Train Accuracy = 10.27%, Test Accuracy = 9.93%
Epoch 161.5: Train Accuracy = 10.13%, Test Accuracy = 10.93%
Epoch 162.0: Train Accuracy = 9.93%, Test Accuracy = 10.27%
Epoch 163: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 163.5: Train Accuracy = 10.27%, Test Accuracy = 10.40%
Epoch 164.0: Train Accuracy = 10.07%, Test Accuracy = 9.80%
Epoch 165: Train Accuracy = 10.27%, Test Accuracy = 10.13%
Epoch 165.5: Train Accuracy = 10.27%, Test Accuracy = 10.07%
Epoch 166.0: Train Accuracy = 10.33%, Test Accuracy = 10.07%
Epoch 167: Train Accuracy = 10.07%, Test Accuracy = 10.07%
Epoch 167.5: Train Accuracy = 10.00%, Test Accuracy = 11.00%
Epoch 168.0: Train Accuracy = 9.93%, Test Accuracy = 9.93%
Epoch 169: Train Accuracy = 10.53%, Test Accuracy = 10.07%
Epoch 169.5: Train Accuracy = 10.00%, Test Accuracy = 9.80%
Epoch 170.0: Train Accuracy = 10.33%, Test Accuracy = 10.00%
Epoch 171: Train Accuracy = 11.07%, Test Accuracy = 10.07%
Epoch 171.5: Train Accuracy = 10.33%, Test Accuracy = 9.93%
Epoch 172.0: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 173: Train Accuracy = 10.60%, Test Accuracy = 9.93%
Epoch 173.5: Train Accuracy = 9.87%, Test Accuracy = 10.67%
Epoch 174.0: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 175: Train Accuracy = 10.27%, Test Accuracy = 9.87%
Epoch 175.5: Train Accuracy = 9.93%, Test Accuracy = 10.27%
Epoch 176.0: Train Accuracy = 9.80%, Test Accuracy = 10.13%
Epoch 177: Train Accuracy = 11.13%, Test Accuracy = 9.93%
Epoch 177.5: Train Accuracy = 9.93%, Test Accuracy = 12.20%
Epoch 178.0: Train Accuracy = 10.73%, Test Accuracy = 10.27%
Epoch 179: Train Accuracy = 10.47%, Test Accuracy = 10.07%
Epoch 179.5: Train Accuracy = 10.00%, Test Accuracy = 10.67%
Epoch 180.0: Train Accuracy = 9.73%, Test Accuracy = 10.07%
Epoch 181: Train Accuracy = 11.80%, Test Accuracy = 10.13%
Epoch 181.5: Train Accuracy = 10.20%, Test Accuracy = 10.60%
Epoch 182.0: Train Accuracy = 9.93%, Test Accuracy = 10.00%
Epoch 183: Train Accuracy = 11.53%, Test Accuracy = 10.07%
Epoch 183.5: Train Accuracy = 10.13%, Test Accuracy = 11.40%
Epoch 184.0: Train Accuracy = 10.00%, Test Accuracy = 9.93%
Epoch 185: Train Accuracy = 11.47%, Test Accuracy = 10.33%
Epoch 185.5: Train Accuracy = 10.07%, Test Accuracy = 10.93%
Epoch 186.0: Train Accuracy = 9.67%, Test Accuracy = 10.00%
Epoch 187: Train Accuracy = 10.53%, Test Accuracy = 10.13%
Epoch 187.5: Train Accuracy = 10.07%, Test Accuracy = 10.27%
Epoch 188.0: Train Accuracy = 10.13%, Test Accuracy = 10.00%
Epoch 189: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 189.5: Train Accuracy = 10.27%, Test Accuracy = 10.00%
Epoch 190.0: Train Accuracy = 10.07%, Test Accuracy = 10.07%
Epoch 191: Train Accuracy = 10.07%, Test Accuracy = 10.20%
Epoch 191.5: Train Accuracy = 9.93%, Test Accuracy = 11.07%
Epoch 192.0: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 193: Train Accuracy = 10.67%, Test Accuracy = 10.40%
Epoch 193.5: Train Accuracy = 10.27%, Test Accuracy = 10.33%
Epoch 194.0: Train Accuracy = 10.60%, Test Accuracy = 10.07%
Epoch 195: Train Accuracy = 11.33%, Test Accuracy = 10.00%
Epoch 195.5: Train Accuracy = 10.00%, Test Accuracy = 10.20%
Epoch 196.0: Train Accuracy = 10.13%, Test Accuracy = 9.93%
Epoch 197: Train Accuracy = 10.27%, Test Accuracy = 10.13%
Epoch 197.5: Train Accuracy = 10.07%, Test Accuracy = 10.33%
Epoch 198.0: Train Accuracy = 9.93%, Test Accuracy = 10.07%
Epoch 199: Train Accuracy = 9.60%, Test Accuracy = 10.27%
Epoch 199.5: Train Accuracy = 10.20%, Test Accuracy = 11.20%
Epoch 200.0: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 201: Train Accuracy = 10.60%, Test Accuracy = 9.93%
Epoch 201.5: Train Accuracy = 10.33%, Test Accuracy = 10.40%
Epoch 202.0: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 203: Train Accuracy = 10.20%, Test Accuracy = 10.60%
Epoch 203.5: Train Accuracy = 10.00%, Test Accuracy = 10.67%
Epoch 204.0: Train Accuracy = 10.53%, Test Accuracy = 10.27%
Epoch 205: Train Accuracy = 10.73%, Test Accuracy = 10.07%
Epoch 205.5: Train Accuracy = 10.13%, Test Accuracy = 10.60%
Epoch 206.0: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 207: Train Accuracy = 9.93%, Test Accuracy = 10.13%
Epoch 207.5: Train Accuracy = 10.80%, Test Accuracy = 10.87%
Epoch 208.0: Train Accuracy = 9.73%, Test Accuracy = 10.13%
Epoch 209: Train Accuracy = 9.93%, Test Accuracy = 10.20%
Epoch 209.5: Train Accuracy = 10.00%, Test Accuracy = 12.33%
Epoch 210.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 211: Train Accuracy = 10.73%, Test Accuracy = 10.20%
Epoch 211.5: Train Accuracy = 10.07%, Test Accuracy = 9.40%
Epoch 212.0: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 213: Train Accuracy = 11.40%, Test Accuracy = 9.93%
Epoch 213.5: Train Accuracy = 10.00%, Test Accuracy = 10.40%
Epoch 214.0: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 215: Train Accuracy = 10.47%, Test Accuracy = 10.07%
Epoch 215.5: Train Accuracy = 9.80%, Test Accuracy = 10.53%
Epoch 216.0: Train Accuracy = 10.00%, Test Accuracy = 10.13%
Epoch 217: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 217.5: Train Accuracy = 10.00%, Test Accuracy = 10.60%
Epoch 218.0: Train Accuracy = 9.73%, Test Accuracy = 10.20%
Epoch 219: Train Accuracy = 10.40%, Test Accuracy = 10.13%
Epoch 219.5: Train Accuracy = 10.27%, Test Accuracy = 10.67%
Epoch 220.0: Train Accuracy = 10.47%, Test Accuracy = 9.60%
Epoch 221: Train Accuracy = 9.93%, Test Accuracy = 10.47%
Epoch 221.5: Train Accuracy = 9.87%, Test Accuracy = 10.33%
Epoch 222.0: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 223: Train Accuracy = 11.40%, Test Accuracy = 10.33%
Epoch 223.5: Train Accuracy = 10.07%, Test Accuracy = 10.67%
Epoch 224.0: Train Accuracy = 10.00%, Test Accuracy = 10.07%
Epoch 225: Train Accuracy = 10.27%, Test Accuracy = 9.93%
Epoch 225.5: Train Accuracy = 10.20%, Test Accuracy = 9.93%
Epoch 226.0: Train Accuracy = 10.07%, Test Accuracy = 10.07%
Epoch 227: Train Accuracy = 11.53%, Test Accuracy = 10.00%
Epoch 227.5: Train Accuracy = 9.80%, Test Accuracy = 10.13%
Epoch 228.0: Train Accuracy = 10.00%, Test Accuracy = 10.13%
Epoch 229: Train Accuracy = 10.47%, Test Accuracy = 10.00%
Epoch 229.5: Train Accuracy = 9.93%, Test Accuracy = 10.33%
Epoch 230.0: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 231: Train Accuracy = 9.93%, Test Accuracy = 9.87%
Epoch 231.5: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 232.0: Train Accuracy = 10.00%, Test Accuracy = 10.20%
Epoch 233: Train Accuracy = 9.93%, Test Accuracy = 9.80%
Epoch 233.5: Train Accuracy = 10.33%, Test Accuracy = 10.93%
Epoch 234.0: Train Accuracy = 10.40%, Test Accuracy = 10.80%
Epoch 235: Train Accuracy = 9.87%, Test Accuracy = 10.13%
Epoch 235.5: Train Accuracy = 10.20%, Test Accuracy = 10.27%
Epoch 236.0: Train Accuracy = 10.13%, Test Accuracy = 10.07%
Epoch 237: Train Accuracy = 10.07%, Test Accuracy = 10.20%
Epoch 237.5: Train Accuracy = 10.27%, Test Accuracy = 10.27%
Epoch 238.0: Train Accuracy = 9.87%, Test Accuracy = 9.87%
Epoch 239: Train Accuracy = 10.07%, Test Accuracy = 9.93%
Epoch 239.5: Train Accuracy = 10.13%, Test Accuracy = 10.33%
Epoch 240.0: Train Accuracy = 10.07%, Test Accuracy = 9.87%
Epoch 241: Train Accuracy = 11.53%, Test Accuracy = 10.27%
Epoch 241.5: Train Accuracy = 9.87%, Test Accuracy = 10.20%
Epoch 242.0: Train Accuracy = 10.00%, Test Accuracy = 9.73%
Epoch 243: Train Accuracy = 10.00%, Test Accuracy = 10.00%
Epoch 243.5: Train Accuracy = 10.07%, Test Accuracy = 10.00%
Epoch 244.0: Train Accuracy = 10.00%, Test Accuracy = 9.87%
Epoch 245: Train Accuracy = 10.80%, Test Accuracy = 9.93%
Epoch 245.5: Train Accuracy = 10.33%, Test Accuracy = 10.07%
Epoch 246.0: Train Accuracy = 10.20%, Test Accuracy = 10.07%
Epoch 247: Train Accuracy = 11.00%, Test Accuracy = 10.27%
Epoch 247.5: Train Accuracy = 10.00%, Test Accuracy = 10.13%
Epoch 248.0: Train Accuracy = 9.93%, Test Accuracy = 10.00%
